鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
永康區,租賃房屋,臺南市永康區六合里新興街８之３號三樓之３,0.0,,,,1150426,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880519,81.22,3,2,2,有,有,有,14000,172,,0.0,0,台南市社會住宅包租代管第4期計畫公會版租金依照租金水準區間表評定續租案件；,RPRNMLLLNHLGFKD88CC,整棟(戶)出租,有,1150522~1160430,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中西區,租賃房屋,臺南市中西區南華街８１號五樓之５,0.0,,,,1150427,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800627,23.48,1,1,1,有,有,有,5700,243,,0.0,0,台南市社會住宅包租代管第5期計畫中央版租金依照租金水準區間表評定,RPUNMLMLNHLGFAD28CC,獨立套房,有,1150501~1180430,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中西區,租賃房屋,臺南市中西區金華路三段２５２號八樓之１１,0.0,,,,1150427,土地0建物1車位0,八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,35.150000000000006,1,1,1,有,有,有,9000,256,,0.0,0,台南市社會住宅包租代管第5期計畫中央版租金依照租金水準區間表評定,RPVNMLMLNHLGFAD38CC,獨立套房,有,1150520~1160519,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
安南區,租賃房屋,臺南市安南區布袋路８０號二樓之２,0.0,,,,1150427,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101126,103.88,3,1,2,有,有,有,17200,166,,0.0,0,台南市社會住宅包租代管第5期計畫中央版租金依照租金水準區間表評定未租賃車位，建物登記含有車位面積；,RPRNMLMLNHLGFBD08CC,整棟(戶)出租,有,1150505~1171219,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
東區,租賃房屋,臺南市東區富農街一段１９１巷５號三樓,0.0,,,,1150427,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790719,138.17000000000002,4,2,2,有,無,有,5500,40,,0.0,0,台南市社會住宅包租代管第5期計畫中央版租金依照租金水準區間表評定,RPTNMLMLNHLGFCD38CC,整棟(戶)出租,無,1150501~1160430,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
東區,租賃房屋,臺南市東區崇學路１１１號十二樓之２,0.0,,,,1150427,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,237.95,3,2,2,有,有,有,17000,71,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金依照租金水準區間表評定續租案件；,RPUNMLMLNHLGFCD48CC,整棟(戶)出租,有,1150501~1160430,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
東區,租賃房屋,臺南市東區建東街５４巷３１號三樓之２,0.0,,,,1150427,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830707,101.96,3,2,2,有,有,有,17500,172,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金依照租金水準區間表評定續租案件；,RPVNMLMLNHLGFCD58CC,整棟(戶)出租,有,1150605~1160604,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
南區,租賃房屋,臺南市南區健康路一段１３５號,0.0,,,,1150427,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,磚瓦造,0490101,67.87,3,2,2,有,無,無,25000,368,,0.0,0,租賃期間含免租金裝潢期自民國115年4月27日起至民國115年5月26日止租金總額含稅；其他二代健保；,RPXNMLMLNHLGFCD78CC,,無,1150427~1160526,無,,
新營區,租賃房屋,臺南市新營區新進路二段４９６號十一樓,0.0,,,,1150427,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831227,116.47999999999999,3,2,2,有,有,有,15000,129,,0.0,0,台南市社會住宅包租代管第5期計畫中央版租金依照租金水準區間表評定多人共同承租2；,RPPNMLMLNHLGFDD08CC,整棟(戶)出租,有,1150501~1160430,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
仁德區,租賃房屋+車位,臺南市仁德區文孝路１２５號７樓之１,0.0,,,,1150428,土地0建物1車位1,七層,23,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1120426,165.69,3,2,2,有,有,有,27500,166,坡道平面,31.41,0,租金總額含管理費；其他公共基金；,RPQNMLMLNHLGFID68CC,整棟(戶)出租,有,1150510~1160509,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
